Name,Price,Rating
"Butterfly Rapid 750 W Juicer Mixer Grinder (4 Jars, Bla...","₹3,198",4.1
"sneh sales New Collection Stainless Steel Egg Cooker,eg...",₹299,3.9
"sneh sales New Collection Stainless Steel Egg Cooker,eg...",₹320,4.1
"sneh sales New Collection Stainless Steel Egg Cooker,eg...",₹320,4.1
Panasonic 20 L Solo Microwave Oven,"₹5,090",4.3
Flipkart SmartBuy Voltron Induction and Fry Pan Inducti...,"₹1,899",4.7
VISION INDIA CO Milk Frother Electric Foam Maker Classi...,₹199,3
Faber Hood Ace Pro HC PB BK 90 Auto Clean Wall Mounted ...,"₹10,990",4.2
Panasonic 20 L Solo Microwave Oven,"₹5,690",4.3
Fulkiza by scarlet electrick kettle Electric Kettle,₹639,5
Greenchef Maxo Induction 2000W + 250IB Tawa Induction C...,"₹1,799",3.7
RTB TS500 Digital Kitchen Weighing Scale 30kg x 1g with...,₹879,3.8
Elica TBC HAC TOUCH BF 90 MS NERO with Installation Kit...,"₹16,299",4.2
Pigeon Rapido Cute Induction Cooktop,"₹1,659",3.9
"Preethi Crown MG-205 500 W Mixer Grinder (3 Jars, White...","₹2,698",4.1
CAPTAINDEAL Egg Boiler boils up to 7 Eggs to Perfection...,₹375,4.1
Elica WDFL 606 HAC MS NERO Auto Clean Wall Mounted Chim...,"₹11,990",4.1
PHILIPS Viva Collection HD4938/01 2100-Watt Induction C...,"₹4,499",4.4
"Sujata MULTIMIX 900 Juicer Mixer Grinder (3 Jars, White...","₹6,680",4.5
OFFYX Manual Stainless Steel Puri Press Machine With Ha...,₹699,3.5
Natraj Aatamaker Viva Atta Chakki Fully Automatic Domes...,"₹16,990",4.1
Hindware Nevio Plus 60  Auto Clean Wall Mounted Chimney,"₹12,999",4.3
"Prestige 41384 Regal 750 Juicer Mixer Grinder (4 Jars, ...","₹3,944",4.1
OTC ndian Chapati/Roti/ with 1 year Warranty || Stainle...,"₹1,090",3
varada Air Fryer Over 12Liter Air Fryer,"₹9,999",5
SHREE SHUH LAXMI Egg Boiling and Frying Home Machine Eg...,₹359,4.1
KENT 16089 Egg Boiler and Vouge Electric Kettle,"₹1,930",4.4
KENT 16023 Electric Kettle,"₹1,249",4.2
Panasonic 20 L Grill Microwave Oven,"₹7,890",4.4
Divya DP-88 Premium infrared Radiant Cooktop,"₹2,999",4.1
"HAVELLS Aspro 500 W Mixer Grinder (4 Jars, White, Light...","₹2,998",4.1
Lifelong Electrified Morning Kit - Electric Kettle (1.5...,"₹1,823",4.3
"Butterfly Plus Rapid 750 W Mixer Grinder (5 Jars, Ink B...","₹3,698",4.3
GATHA SALES 7 Speed Control Detachable Stainless-Steel ...,₹393,4
N V Enterprise MASTER JUICER Manual juicer 0 Juicer (1 ...,₹599,4.2
Sansui Pronto ProHome 400 W Juicer Mixer Grinder (2 Jar...,"₹1,948",4.1
"Butterfly Arrow 500 W Mixer Grinder (3 Jars, Grey)","₹1,898",4
GaxQuly Scarlett electric kettle Multi Cooker Electric ...,₹644,4.8
Holiday Portable Electronic Weighing Scale and Digital ...,₹229,3.9
"Panasonic SR-WA18H (SS) Food Steamer, Rice Cooker","₹2,500",4.2
"Butterfly Rapid 750 W Juicer Mixer Grinder (4 Jars, Bla...","₹3,198",4.1
Flipkart SmartBuy Voltron Induction and Kadhai Inductio...,"₹2,099",4.2
Tom & Gee Fruit And Vegetable Mixer Hand Juicer J 01 0 ...,₹468,3.8
Deal Nut DN0990 Electric Kettle,₹622,4.7
Panasonic 20 L Solo Microwave Oven,"₹5,090",4.3
Preethi Indicook Excel Plus IC 117 Induction Cooktop,"₹2,998",4.3
"BAJAJ Twister 750 W Mixer Grinder (3 Jars, White)","₹4,150",4.2
"DeltaT 14 Egg Capacity Egg Cooker,350W Electric Egg Mak...",₹386,4.1
Panasonic 20 L Solo Microwave Oven,"₹5,690",4.3
PHILIPS HL7756/00 Daily Collection 750 W Mixer Grinder ...,"₹3,490",4.3
Prestige PKOSS 1.8 Electric Kettle,₹925,4.1
Pigeon Lavio Wet Grinder,"₹3,098",3.9
Elica TBC HAC TOUCH BF 90 MS NERO with Installation Kit...,"₹16,299",4.2
Prestige Electric Kettele 1.5 Electric Kettle,₹849,4.1
Hindware Ripple 90 Auto Clean Wall Mounted Chimney,"₹13,999",4.2
APNA KANHA Raja 100 kg Commercial Hanging Weighing Scal...,₹888,4
Elica WDFL 606 HAC MS NERO Auto Clean Wall Mounted Chim...,"₹11,990",4.1
KENT Vogue Kettle 1.8 L Electric Kettle,₹949,3.9
OFFYX Manual Stainless Steel Puri Press Machine With Ha...,₹699,3.5
